제목,내용,embedding
공연장에 여자화장실이 적어서 불편해요.,"올림픽공원 내 화장실의 수량 및 면적 등은 86아시안게임, 88올림픽 당시의 관련법에 근거하여 정해졌습니다. 그러나 여성 고객이 많이 오시는 행사에는 불편이 초래되어 다음과 같은 조치를 하고 있습니다. 먼저 일부 남자화장실을 여자화장실로 임시 전환하고, 화장실 안내표시판을 교체하는 한편, 바닥에도 진행방양 화살표를 그려 이용하기 쉽도록 하고 있습니다. 여자화장실 확충을 위한 개보수공사도 진행하여 수용인원이 많은 체조, 펜싱경기장의 일부 남자화장실을 여자화장실로 전환하는 공사를 실시하였습니다.","[0.25587097, -0.30418956, -0.9943028, -0.6462335, 0.2684063, 0.2785442, 1.2623413, -0.5164927, -0.07954035, -0.17326981, -0.08479758, 0.27381837, 0.100509256, 0.103276536, -0.104826525, 0.30626833, -0.12776935, 0.09086229, 0.3613898, 0.32339367, 0.19016641, 0.19354433, 0.70251334, 0.6807481, 0.07332844, -0.50996256, -0.27098456, 0.29440624, -0.21696466, 0.42296395, -0.6528601, 0.27167523, 0.5670117, 0.36935282, -0.0852269, 0.09732404, 0.11873917, 0.2675936, 0.009001533, -0.0059550516, 0.27511963, -0.09485994, -0.38785508, -0.782164, 0.06591171, -0.27139798, 0.0817716, -0.34087628, 0.05556321, -0.40313074, -0.6243582, 0.20856188, 0.17147051, -0.07281003, 0.44001034, -0.022753796, -0.07194937, -0.21964832, 0.28347364, -0.5296516, 0.09028234, 0.23441401, 0.23631452, 0.14095655, -0.006168872, 0.2626064, -0.50056475, 0.09979552, -0.048993394, 0.06337827, -0.072257064, -0.14524983, 0.54758006, -0.26597473, 0.030637475, 0.17566179, -0.13315181, -0.09436313, 0.080250196, 0.928416, -0.07736151, -0.31213692, -0.3275694, 0.21262193, -0.40180704, 0.12393357, 0.32875326, -0.12748682, -0.7042325, -0.04026947, 0.0014928225, 0.05552916, 0.3626207, 0.42574263, 0.8347603, -0.14488141, 0.09173473, -0.6659322, 0.14934865, -0.20138057, -0.29474175, 0.35525957, 0.42917445, -0.28920767, 0.7173037, 0.124204695, 0.2919858, 0.36991876, -1.1046467, -0.14714904, 0.4927659, -0.28419703, 0.22393239, -0.64908314, -0.80118835, -0.03374556, 0.08538218, 0.51512563, -0.4032569, -0.13548037, -0.16984887, -0.06213156, -0.4691891, 0.49986935, 0.42317712, -0.17493486, 0.023959149, -0.12872368, -0.67166436, -0.44876942, -0.04936117, 0.02967079, -0.51758707, -0.36445892, -0.44455922, 0.39404407, -0.13488151, -0.7353627, 0.19264862, -0.013945818, -0.3958851, -0.49864548, 0.60030293, 0.47576192, 0.41576654, 0.007172916, 0.3085487, 0.12308928, -0.12970616, -0.43912035, -0.5089728, 0.29780173, -0.59275967, 0.028398177, 0.073750414, -0.56919694, 0.17694363, 0.074286416, -0.20769049, -0.01297747, -0.4374143, -0.85012764, -0.7761223, 0.2193518, -0.0017757267, 0.6105997, 0.18461236, 0.1537312, -0.23251124, 0.0561584, -0.28117198, -0.07275053, -0.08859062, 0.08181609, -0.21715473, 0.937145, -0.24203414, 0.3061786, 0.0955185, -0.4114979, -0.3728242, -0.14954962, -0.17721605, 0.31368345, 0.31835687, 0.11474533, -0.13429007, -0.88000965, 0.09249007, 0.22143146, 0.57428503, -0.26941243, -0.5403332, -0.58579916, -0.73807675, -0.2741349, -0.2463521, 0.06976073, 0.34340197, -0.16884874, 0.43511388, -0.60524195, -0.17391965, 0.30779007, 0.68071413, -0.6126869, 0.28820434, -0.4534161, -0.09650209, 0.65880543, -0.05236155, 0.018044418, -0.02592949, -0.037761383, 0.24953435, -0.52860534, 0.017384605, -0.087106004, 0.0012383014, 0.29998022, -0.53524154, -0.23974007, 0.39512032, -0.5884491, 0.2603701, -0.058725372, 0.016417338, -0.9601293, 0.43088862, 0.17004065, 0.35048676, 0.4555668, -0.09058662, 0.055481765, -0.3323419, -0.12239595, -0.36723682, -0.0072601177, -0.14754115, 0.23899262, 0.37069044, -0.0144803, 0.01476666, 0.23164189, 0.44158405, -0.43843508, 0.7402323, 0.00021947362, 0.1513637, -0.0951118, -0.07133433, 0.016285634, 0.27905896, -0.217288, -0.31840372, -0.22829911, 0.5991849, -0.2893767, -0.5377854, -0.3544947, 0.45836893, 0.4148825, 0.25574663, -0.17695858, 0.17351513, -0.38324937, -0.27612883, 0.061263535, 0.075243, 0.23980364, -0.39210242, -0.06416969, 0.488101, -0.3559494, -0.11007797, 0.19663034, 0.42338923, -0.26176086, 0.10718278, 0.34091362, -0.15895146, -0.08857708, -0.15501073, -0.10159902, 0.68482125, -0.15304056, -0.28153855, 0.0022720394, -0.36350375, -0.3202888, 0.49884313, -0.1442732, -0.5738324, -1.2636068, -0.25504413, -0.647396, 0.88526183, 0.16083539, -0.53959626, -0.1447713, -0.10673224, -0.14875564, -0.40566155, -0.042507634, 0.38837412, 0.29727465, -0.16487718, -0.60502434, 0.21941222, -0.2801975, 0.10094364, 0.027349284, -0.3590969, -0.28264892, -0.2811792, 0.051316753, -0.5673453, -0.66381913, 0.26585025, -0.30067855, -0.09165149, 0.14875667, 0.083271176, 0.25421023, 0.31765553, -0.21687225, -0.0046624397, -0.47760302, 0.5307766, 0.27944002, 0.5555953, -0.030930875, 0.18115164, -0.5136114, 0.01859424, 0.09647338, 0.297013, 0.008483138, 0.12694623, 0.034970712, -0.13039106, 0.40121478, 0.07595845, -0.86528766, 0.041360006, 0.22022381, 0.2422638, -0.04712913, 0.06763148, 0.20738427, 0.9635975, 0.6816497, -0.13036746, -0.10894452, 0.38447663, -0.67750394, 0.3113154, -0.04068835, 0.05599577, -0.3232455, -0.14324836, 0.2370923, 0.57881373, -0.23397067, -0.3183448, 0.23800969, 0.12901002, 0.38350564, 0.5330923, -0.37419802, -0.17911705, 0.20141415, 0.34062937, -0.07086353, -0.04193926, -0.53843445, 0.05250004, 0.062465925, 0.5481653, -0.67168206, 0.13643558, 0.35682988, 0.023299268, -0.2687578, -0.29411986, -0.7927004, -0.5571807, 0.032570817, 0.4037934, -0.5441402, -0.42143694, 1.1252704, 0.04864807, -0.26405776, 0.33997256, -0.22126445, -0.3626659, 0.047010846, 0.15470669, 0.78505933, 0.26389053, 0.73612136, -0.09236905, 0.23057093, -0.6438659, -0.09309938, 0.046700202, 0.34007847, -0.51025885, -0.273085, -0.8007171, -0.43260452, -0.39763534, -0.045974318, -0.5364604, -0.0141084865, -0.16269478, -0.87454176, -0.05431073, -0.10699375, 0.41020274, 0.5534218, -0.34778532, -0.09212109, -0.538479, 0.22699174, 0.03276953, 0.15870322, 0.19215281, 0.76243824, 0.010600496, 0.19506165, -0.09769051, -0.27925634, -0.23627234, 0.8500546, 0.49762514, 0.9283279, -0.5072553, -0.69221276, 0.07516987, -0.3234763, -0.5990492, -0.625686, 0.45651487, -0.09641622, -0.028663632, 0.5181456, -0.2740075, -0.5760347, 0.14351144, 0.4766753, 0.8491498, 0.069046184, 0.22135538, -0.003064638, 0.6670487, -0.11433981, -0.2206897, 0.26573554, 0.9521241, -0.79851764, 0.47011146, -0.09397831, -0.5081671, -0.31266296, -0.42911682, 0.6216923, 0.17678821, 0.237314, -0.07285966, -0.17815013, 0.20870036, 0.80925983, 0.40014896, -0.29371762, -0.7740859, -0.45316902, -0.57119155, 0.83742166, 0.0501369, 0.4768786, 0.23799734, 0.17998534, 0.12077385, 0.00885325, -0.0042994316, -0.59647685, -0.20318472, 0.24113305, -0.5365166, -0.105458304, 0.16634078, -0.7038038, 0.16672847, -0.010155692, -0.30458283, -0.071296364, -0.3064024, 0.18372273, -0.37122047, 0.06792469, -0.64468473, 0.0747453, 0.14025292, 0.24822122, -0.13799769, 0.09230689, -0.3276546, 0.40173396, -0.18850452, 0.22246149, -0.29328406, 0.08997263, -0.039152652, -0.043196946, -0.32261798, -0.18259043, 0.35645974, -0.20884742, -0.5725595, 0.08964278, 0.10953539, -0.061901204, -0.10647228, -0.60487217, 0.30126947, 0.014403719, -0.06356989, 0.20679826, 0.10925178, -0.34571528, -0.18146384, 0.4907928, 0.018313464, -0.03151445, -0.24552836, -0.16149881, 0.41056326, -0.29938087, -0.5410469, -0.09954324, -0.34812784, -0.44493574, -0.16050127, 0.66064215, 0.47886324, 0.5142782, 0.38070035, -0.2775985, -0.148525, -0.13631783, -0.6598948, -0.22564724, -0.6898213, 0.23894905, -0.036128536, 0.036953192, 0.27641764, 0.43568254, 0.024620868, -0.57587993, -0.32739618, 0.16663653, -0.63814676, -0.41165337, 0.060258806, -0.5091146, -0.01607039, -0.8365754, -0.42159516, -0.6483406, 0.18973173, 0.42823339, 0.3014712, -0.059087962, -0.024368294, -0.11651391, -0.14854579, -0.21049726, -0.13642223, 0.09039097, 0.7399712, -0.024883516, -0.22686008, -0.18440822, -0.3278214, -0.3167328, -0.29686403, -0.6163906, 0.38027188, 0.34647012, -0.20645508, -0.38467056, -0.02209948, 0.4678929, 0.31533852, 0.49916598, -0.73540634, -0.7066631, -0.4443236, 0.09708316, -0.48053202, 0.123516254, 0.3608338, 0.2665636, 0.35277864, 0.7530176, -0.534355, -0.039124858, 0.74050575, -1.1699343, 0.044071168, -0.28422984, -0.22695485, -0.3174179, 0.26844054, 0.27787855, 0.0014941376, -0.39146996, 0.19053987, 0.35216853, -1.1195894, 0.13632673, 0.2325509, -0.027199937, 0.21861736, 0.42329785, -0.08431468, -0.121141665, 0.3384975, 0.045079824, -0.07677535, 0.092755675, -1.1034, -0.027518429, 0.08456563, 0.63702345, -0.028803693, 0.07986709, 0.25787586, -0.1700309, -0.03116839, -0.017461322, 0.026021728, 0.0119356215, 0.30947104, 0.75230604, -0.7706832, 0.10609184, -0.8294534, 0.11214384, 0.106839694, 0.14776771, -0.28846833, -0.4382536, -0.6865539, 0.47060037, 0.04894612, -0.26885873, -0.03826444, 0.64112115, -0.41162288, -0.431579, 0.8239423, 0.34185958, -0.13683604, -0.59016955, 0.8155918, -0.12698333, 0.13982165, -0.38698116, -0.25194803, -0.0058851056, -0.73887086, -0.5316129, 0.079408154, 0.21746817, -0.32557735, -0.19415633, 0.29615307, -0.29378796, 0.31740218, -0.5567538, 0.349166, 0.4498262, 0.18972658, 0.2557853, 0.8007122, -0.5642529, 0.18859959, -0.95133007, 0.23290828, -1.0489446, 0.39917192, -0.069364056, 0.25539607, 0.63002855, 0.92841154, -0.23569997, -0.380064, 0.29116967, -0.15545458, -0.3679979, -0.14646207, 0.46479118, 0.20217611, 0.13861887, -0.45400235, 0.33085573, -0.14915738, -0.221938, -0.42185372, -0.55790055, -0.007832635, -0.77788013, 0.3065982, 0.08453108, 0.20093167, -0.11657755, -0.61759925, -0.20291352, -0.2885038, -0.5798167, -0.21462508, -0.03996381, 0.4891132, 0.15862828, 0.089769214, -0.25682822, -0.48665813, -0.67833203, 0.10656796, 0.3279082, -0.27943653, -0.48458815, -0.23817053, -0.6268576, -0.27827483, 0.1473342, -0.058377497, 0.5753492, 0.21452634, -1.215082, 0.7144864, -0.6430228, 0.36545253, -0.49144885, 0.28955275, -0.059172183, 0.9343662, 0.2959289, -0.25687832, -0.110037446, 0.22637686, -0.26384985, -0.1425523, -0.08016883, 0.20829082, 0.43843174, 0.07822521, -0.5730482, 0.07183247, -0.6521021, 0.8680467, 0.76563585, -0.31630298, -0.44746813]"
방송은 어디서 들으면 잘 들을 수 있을까요,"올림픽공원 전체에 음악방송이 나갑니다. 평화의 광장 몽촌해자나 장미정원 등 아름다운 자연을 즐기실 수 있는 곳이 많아, 오셔서 음악이 나오는 스피커 근처에 자리를 잡으시고 편안하게 들어주세요.","[0.4558814, -0.608472, 0.022894522, -0.59790885, -0.23540978, 0.24709211, 0.07383983, 0.38899145, 0.004487008, 0.9120096, -0.272335, 0.65182555, -0.20260426, -0.027824624, -0.13234496, 0.6778979, -0.056059796, 0.016980616, -0.068306066, -0.4262647, 0.79663193, -0.2679668, 0.04144718, 0.16225486, -0.28088382, 0.11365475, -0.72603077, 0.8993169, 0.0014587577, 0.24826716, 0.028367326, -0.14439607, -0.32553568, 0.27710417, 0.27419022, 0.44318786, -0.44006446, 0.06881098, -0.25629568, 0.119010545, 0.23417044, -0.5184193, -0.2641752, -0.35505912, 0.17659475, 0.101169094, -0.46657556, -0.9566217, -0.28091207, 0.108929195, -0.121159084, -0.37123305, 0.042275075, 0.2964247, -0.16018023, -0.4243694, 0.37847477, -0.09726063, 0.1732105, 0.42810148, 0.6623184, -0.67516714, -0.04212288, -0.25909033, 0.33034596, -0.24734624, 0.019196907, 0.2838132, -0.41743842, -0.5722667, -0.24817725, 0.03842909, 0.12216035, -0.23946546, -0.28839514, -0.0986933, 0.41520005, -0.014485491, 0.5117665, 0.72096616, -0.28128886, 0.036857408, -0.8450619, 0.049381137, 0.10483112, -0.55225176, -0.25054738, -0.3112789, 0.30068535, 0.06976656, -1.2222633, 0.12919514, 0.310694, 0.046537332, 0.13287246, 0.004467604, 0.11544122, 0.12910423, 0.027666878, -0.32822654, 0.37325028, 0.08947068, 0.32685414, 0.4347869, 0.15263982, 0.34663692, -0.067608304, -0.13615754, -0.5938376, -0.8701412, -0.04384313, -0.047596574, -0.20089194, -0.6332141, -0.22752254, 0.48856878, -0.46033123, 0.55390126, -0.3289728, -0.06885738, -0.27103233, 0.15097448, -0.010061747, 0.48190507, -0.51819515, 0.019428808, 0.1471876, -0.7985392, -0.14484155, -0.32327738, -0.4434135, 0.5705697, 0.05152095, 0.02114887, -0.09809878, -0.82761806, 0.35575074, 0.2943359, -0.19207326, 0.5579451, -0.0265466, -0.53833675, 0.40598652, 0.38783294, -0.16647577, 0.06305218, -0.3487493, -0.7723495, -0.42783427, -0.54000354, -0.3344009, -0.5001802, -0.40753266, -0.2250828, 0.104636095, 0.1423522, -0.5149397, -0.4621513, 0.678551, -0.670756, 0.33328468, 0.2700033, 0.306207, 0.90326023, 0.28213114, -0.13257404, 1.0593106, -0.17971288, 0.89560276, -0.826945, -0.33514085, 0.14088017, 0.32870883, -0.22771013, 0.15467915, -0.40016383, 0.09620147, 0.028793544, -0.3099205, -0.5330545, -0.33596277, 0.380892, 0.16148826, 0.49669403, 0.016505592, 0.29744035, 0.70116127, -0.119881146, -0.063600436, -0.28149182, 0.7095589, 0.30802122, -0.11060734, -0.6763794, 0.4596797, -0.19725096, -0.21365699, -0.023605704, -0.36341992, -0.07227822, -0.19559826, -0.5508223, 0.22547877, 0.3480186, 0.25573596, -0.35727075, 0.157732, 0.49167866, -0.6746885, -0.56940925, -1.0748909, -0.038908128, 0.027080221, -0.20586601, 0.47823647, 0.0962662, 0.1475219, -0.36929414, -0.83552456, -0.073606186, 0.9235472, -0.4384955, 0.04038735, -1.2104629, -0.13583407, -0.71190006, -0.61764324, 0.14083454, 0.07446016, 0.017655509, -0.028924717, 0.09665223, -0.5811025, -0.2187338, 0.03405712, -0.09610423, -0.04592705, 0.8893033, 0.05574026, -0.4516852, -0.4671679, 0.40751696, -0.41661766, -0.48521942, -0.018379288, -0.46851757, 0.2289977, 0.31284675, -0.2275202, -0.43427858, 0.73380727, 0.39713785, -0.61124665, 0.34291053, 0.6846347, -0.41388026, 0.68480027, 0.08859939, 0.085212275, -0.45634744, 0.22608164, 0.16415228, -0.51194805, 0.59267265, -0.1807363, -1.0544368, 0.7341161, -0.4918889, -0.07690989, -0.7149811, -0.34553394, 0.16789578, 0.6333211, 0.46449062, -0.7516912, 0.07277399, -0.2635508, -0.6254574, -0.23192814, -0.28787875, -0.35707006, 0.18784146, 0.57421935, -0.032605562, -0.026307508, 0.14120029, -0.011389988, -0.35848737, -0.34621826, -0.17217718, -0.13257778, -0.38304898, -0.1536616, -1.0966531, -0.16518463, -0.17675345, -0.57638794, 0.23155962, -0.17864242, 0.81037176, 0.13500914, -0.1440372, 0.479971, 0.13554524, 0.43020996, 0.20930149, -0.16938339, -0.41217068, 0.19737355, -0.20348762, -0.019794138, 0.02373756, -0.31426877, -0.4364199, 0.39128882, 0.4526896, 0.17056939, -0.69129235, -0.32687315, -0.25676975, -0.22274847, 0.35117486, -0.31283855, 0.4545401, 0.19482312, 0.19342549, 0.49731746, -0.17565136, -0.05956954, 0.4323925, -0.3879976, -0.96771944, 0.13418515, -0.3970781, 0.5535682, -0.24349658, -0.08828265, -0.0026082376, -0.5243589, -0.2970852, -0.22172382, -0.42275327, -0.592812, -0.09157885, -0.39666247, 0.51335585, 0.20310412, -0.25259832, 0.47261217, -0.4109096, 0.38813043, 0.109881036, -0.08487756, 0.23831186, 0.008828078, -0.053659406, -0.32558584, 0.40296894, -0.39825556, 0.09973328, 0.78202695, 0.572713, 0.13909696, 0.48362193, 0.08961828, 0.27919036, -0.42229262, 0.29950505, -0.50497377, 0.39186114, -0.015910756, -0.083028555, -0.20753057, 0.19463888, -0.60802305, 0.338531, 0.2302735, 0.12328062, -0.5948346, -0.45593503, -0.19282904, 0.19067827, -0.008326561, -0.575921, 0.08568537, -0.6706343, -0.88635534, 0.019975143, -0.21066615, -0.018925903, -0.10060078, -0.4008251, 0.23983708, 0.6212349, -1.6300124, -0.1788248, -0.57495594, 0.47909454, -0.21479109, -0.15959375, -0.37643695, 0.62132627, 0.46909356, 0.106468, 0.35728696, -0.066821314, 1.1662018, 0.6536318, 0.54857945, 0.085134156, -0.1879915, -0.33149925, 0.57598925, -0.7786026, -0.444353, -0.024251264, -0.371149, -0.21563172, 0.14178349, -0.64540714, 0.035820577, 0.2052233, 0.32235867, -0.51213807, 0.2981982, 0.090075955, -0.23434736, -0.21247049, 0.64967316, 0.5117549, 0.56783134, -0.3555918, 0.10439926, -0.12242138, -0.02271891, 0.12674966, 0.054916687, 0.03823265, -0.28335005, -0.072927915, 0.23628362, 0.22142085, 0.17037587, -0.03322486, 0.023420164, -0.37269258, 0.87306386, -0.28736115, -0.661792, -0.5726735, -0.054975294, -0.0612885, -0.55364984, -0.54279095, -0.14564414, -0.53711015, 0.7667321, 0.25817746, -0.26334158, 0.25610635, -0.009801091, -0.16434531, -0.41594672, -0.58530396, 0.601538, 1.0223815, 0.25908995, -0.093518294, 0.01047002, 0.14936249, -0.27083883, -0.17841546, 0.5993123, 0.00607191, 0.46834368, 0.08254265, -0.066864, -0.3166284, -0.07433164, 0.38807112, -0.6971711, -0.034848396, -0.28324696, -0.17601569, -0.015410712, 0.0096269315, -0.23138872, -0.35026982, -0.23888044, 0.9477905, 0.8626375, -0.11555053, -0.113661535, -0.45377517, 0.57364273, -0.6901035, -0.17757218, 0.03933237, -0.009964795, 0.12373352, -0.11790379, -0.37495974, 0.5748262, 0.4361519, -0.32613927, 0.50500554, -0.19157024, 0.2759168, 0.1902548, 0.29211023, 0.40266976, -0.072338365, 0.48904195, 0.25344494, -0.52819806, 0.4278336, 0.49476907, 0.2967055, 0.1073118, 0.1458915, 0.21360287, 0.35342345, -0.105276644, -0.1397274, -0.17284814, 0.3109513, -0.2672715, -0.1905675, 0.1909314, 0.13068886, -0.3496711, 0.06438863, -0.18087247, 0.2951137, 0.25121668, 0.23439123, -0.6436606, 0.5409153, -0.4611811, 0.04646236, 0.60080945, -0.059481643, 0.23291846, -0.72603667, -0.09123701, 0.05191702, 0.8351324, 0.65144205, -0.24029782, -0.08858071, -0.66603357, -0.41177708, -0.5935949, 0.3484257, -0.8146183, -0.22303884, -0.31159154, -0.60177034, -0.12887314, 0.3895185, 0.2948157, -0.01565873, -0.23767789, 0.3680516, 0.08257123, 0.13690983, 0.02995052, -0.4527367, -0.6894942, 0.216723, 0.21568571, 0.110793374, 0.18379177, 0.067870684, -0.11796391, 0.264549, -0.15704568, -0.58214724, -0.7041965, -0.3232584, 0.13131006, -0.18858112, 0.5526191, 0.17256948, 0.04873696, 0.39807945, 0.07277571, 0.12814485, -0.0052827424, 0.13149898, -0.39489427, -0.6338944, 0.48347718, 0.03309209, 0.0902397, -0.6205357, -0.92445624, -0.6279618, -0.24135344, 0.22632809, 0.5995509, 0.1824585, -0.45686647, -0.07264774, -1.1277148, -0.2234516, -0.3425791, 0.09163787, -0.43288854, -0.32564226, 0.36795434, -0.059327252, -0.34840554, 0.02560607, -0.48880914, -0.48015007, -0.65872985, 0.076527975, 0.7159127, 0.22642587, 0.29268715, 0.6600699, -0.6083404, 0.28673482, -0.034498576, 0.146125, -0.34597084, 0.08682046, -0.48082885, -0.15560535, 0.34203577, -0.7826813, 0.3803354, 0.5380016, -0.26688638, -0.51131094, 0.16220152, -0.19247608, 0.6088386, -1.2035459, -0.5613621, 0.2802034, -0.3922827, -0.5935262, 0.10305394, 0.40168452, -0.8832863, 0.21514416, -0.16569701, -0.07785767, -0.33130026, 0.5166999, 0.109659515, 0.3118966, 0.2747995, -0.27924874, -0.8494651, 0.42817113, -0.056396246, -0.2630308, -0.41254395, 0.53248537, 0.45552465, -0.7013892, 0.16115882, -0.41579536, -0.2556854, -0.42136884, 0.35338783, 0.033665925, 0.5165455, 0.8894138, -0.22620606, 0.46085882, -0.24194086, -0.04417493, 0.050250597, 0.21845725, -0.14414331, -0.32771513, -0.20730475, 0.88198435, 0.20033753, 0.022999031, -0.5856334, 0.53477013, -1.1454264, 0.15555458, -0.22028258, 0.20805524, 0.596511, 0.1063049, 0.34166923, -0.29983935, 0.87481964, 0.26546535, 0.3168665, 0.68198234, -0.13879922, -0.026808586, 0.13966128, -0.329786, -0.8041194, 0.33144757, 0.15180826, -0.25475016, -0.38540125, -0.07468418, -0.13863376, -0.23330532, 1.0484205, -0.7846947, 0.056403536, -0.4021739, 0.43844137, -0.2994992, 0.36606973, -0.80686724, 0.23627234, 0.06783263, 0.06680134, -0.10661548, 0.43977946, -0.7036434, 0.23745729, 0.17221455, -0.032688133, -0.8033394, -0.20973705, 0.18409003, 0.3083666, 0.2605289, -0.15616477, 0.4029531, -4.967821e-05, -0.5035345, -0.122127526, 0.44326672, -0.15548407, 0.7811, -0.27518395, 0.45563865, -0.25787833, 0.082982376, 0.016708309, -0.93529785, 0.19356878, 0.29801804, 0.1388431, 0.124961324, 0.04760372, 0.53524435, 0.4032731, 0.14500603, 0.023942487, -0.1512193, -1.0884935, -0.43088627, 0.38218203, -0.4830248, 0.54016227, 0.39145604, -0.2756138, 0.27159628, 0.24520095, 0.21989825, 0.30718136, -0.21200195]"
